


联通电信新加坡,#genre#
Mediacorp 5,mitv://generationnexxxt.com:19806/7ecf2b27c2554eef87bb4b3603e82a4f
Mediacorp 8,mitv://generationnexxxt.com:19806/02b0b2bfe7974369b811f418dcd4eddf
Suria,mitv://generationnexxxt.com:19806/9ea5cf9604c545c88d5a634f5450204b
Vasantham,mitv://generationnexxxt.com:19806/c59b3a242b644ec2ba2d3398ad14189b
CNA,mitv://generationnexxxt.com:19806/52b67f21b37b4764a87c33dd46844fdb
Mediacorp U,mitv://generationnexxxt.com:19806/1c7cdb0005764374ab173154f8418848
Euronews,mitv://generationnexxxt.com:19806/5b3289dff2154e2c8e166cc3f081f326
Fight Sports,mitv://generationnexxxt.com:19806/7375a5f151c047b294a8e8c6ddad178d
Fox News,mitv://generationnexxxt.com:19806/e9305a82b75c42f5901c0594e063e999
Mediacorp U(B),mitv://generationnexxxt.com:19806/bcf807b5e6e549b4aa970c8f1c160a5b
Mediacorp 8(B),mitv://generationnexxxt.com:19806/009ed3c76b6e4a0cb514213b944e3b1b
联通电信马来西亚,#genre#
beIN Sports,mitv://generationnexxxt.com:19806/eefa5931a750470d8a3267932e36c644
TV1,mitv://generationnexxxt.com:19806/a3299ebd988b447992cf982df2ea7562
TV2,mitv://generationnexxxt.com:19806/facbc81537924664aaf429b4e0faec17
TV3,mitv://generationnexxxt.com:19806/6a00a0b3636340a4bc00626fedaa36f6
八度空间,mitv://generationnexxxt.com:19806/c1351c973d544fd9b9fcf34d36cc3ab1
TV9,mitv://generationnexxxt.com:19806/cd4d90b0f1c84d33ae6ab4ebf09ce61a
Astro Oasis,mitv://generationnexxxt.com:19806/ba94a812ece14f4484d550852d736644
Al-Hijrah,mitv://generationnexxxt.com:19806/2bbbb59b7e4c44e1ac91c3a4e9fa222a
SUN TV,mitv://generationnexxxt.com:19806/4bb094b241874180af9f61a56370ce35
爱奇艺,mitv://generationnexxxt.com:19806/220100b4bf8a42b49b38d1152cf9ab84
Astro小太阳,mitv://generationnexxxt.com:19806/b9014d57594d4cfdb87848d4b2610506
Astro AEC(备),mitv://generationnexxxt.com:19806/0cd8ffd5742f43f2aba6b6bf8736641d
天映频道,mitv://generationnexxxt.com:19806/65e1b0870000c6d7c9dccba555040378
翡翠台(华丽台),mitv://generationnexxxt.com:19806/0485c5b3e68c43268b39c8e68b0e6244
Astro AOD  311,mitv://generationnexxxt.com:19806/676d5767c17749f8950a81ed8681380a
天映经典,mitv://generationnexxxt.com:19806/3ac31fa9f30145b68f8469b00d91b200
Astro欢喜台,mitv://generationnexxxt.com:19806/a2f732d447dc4c0b9e80417490de4e1d
KBS World,mitv://generationnexxxt.com:19806/61432c16625e41d3b52570bb136f5054
CGTN,mitv://generationnexxxt.com:19806/a478d869f49148b09b5ad2ddfa73e36b
Astro Ceria,mitv://generationnexxxt.com:19806/65a60c7700089e76e0e3d6806c8b1e66
KIX,mitv://generationnexxxt.com:19806/3f7be3ad31504c9fa358e3fe583fac0a
Astro Arena,mitv://generationnexxxt.com:19806/65b216e7000a7ed40fec9c7d4f4b3c78
Astro SuperSport,mitv://generationnexxxt.com:19806/8f8ad3ee6aa54ccbac64314553dfa1fa
Astro SuperSport 2,mitv://generationnexxxt.com:19806/650d4fca00064e791dd4dbcd16fd08c0
Astro SuperSport 3,mitv://generationnexxxt.com:19806/5b9b9986c20244908be60c3f18a3e435
Astro SuperSport 4,mitv://generationnexxxt.com:19806/c7f1be20958243f68c943016c446501e
beIN Sports 3,mitv://generationnexxxt.com:19806/65a52dc1000d76fbdd7dd8ab186b4afd
WWE,mitv://generationnexxxt.com:19806/32e0838eeab84b3a96297dcceca27f5a
Sky News,mitv://generationnexxxt.com:19806/f023e7189a5541b3a288267608b4836a
八度空间(备),mitv://generationnexxxt.com:19806/34bef24c069e40779fb4b4c827e0051f
SPOTV,mitv://generationnexxxt.com:19806/60ad67b765414b32882a24ce6c63808a
Astro AEC,mitv://generationnexxxt.com:19806/77dec61f37164fb4b2d9813821f040b8
Awesome TV,mitv://generationnexxxt.com:19806/3653aa8c401947d4882212e59c54bfba
ABC Australia,mitv://generationnexxxt.com:19806/65159e6a0003ce6d3e47fc21533740b0
Eurosport,mitv://generationnexxxt.com:19806/65159769000b9a153e2ca23c14c042d2
Star Vijay,mitv://generationnexxxt.com:19806/9ae9ad5dd9884ef5b30d006572db2572
Zee Tamil,mitv://generationnexxxt.com:19806/65a60dec0007945de0e9874a4d685350
TVBS亚洲,mitv://generationnexxxt.com:19806/5459e179cc3b4ea49e5b6ed6a4f298c9
beIN Sports 2,mitv://generationnexxxt.com:19806/65619d35000372e967236fc35ab64b39
Berita RTM,mitv://generationnexxxt.com:19806/da7e362a8d2e40b3bbe02f430a39fc0e
Golf Channel,mitv://generationnexxxt.com:19806/65619e930003f0fc6728c71226a25f2d
TV Okey,mitv://generationnexxxt.com:19806/c393e305d0034cb383ed076f9f711f1a
Boomerang(B),mitv://generationnexxxt.com:19806/45f849d284af44fb80815dc8faa555d0
Golf Channel(B),mitv://generationnexxxt.com:19806/f525ac536b9740f1be9aa0e15eebdd74
