Js=youtube
Decoder=3
Aspect=0

油管新聞,#genre#
CCTV4,https://m.youtube.com/watch?v=twhG7_jvA8g
凤凰卫视,https://m.youtube.com/watch?v=HFib76ySpbU&pp=ygUS5Yek5Yew5Y2r6KeG55u05pKt
TVBS NEWS,https://m.youtube.com/watch?v=m_dhMSvUCIc&pp=ygUQdHZic-aWsOiBnuebtOaSrQ%3D%3D
民視新聞,https://m.youtube.com/watch?v=ylYJSBUgaMA&pp=ygUM5rCR6KeG5paw6Ze7
中天新聞,https://m.youtube.com/watch?v=QNc5xneDzoo&pp=ygUM5Lit5aSp5paw6Ze7
三立新聞,https://m.youtube.com/@setnews/live
东森新闻,https://www.youtube.com/watch?v=E0zhe2gkXBs
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
